label,message
0,though shd go n fun bar town something – sound ok
0,im solihull want anything
0,could kiss feel next
0,never wanted tell im short onedge late
0,ltgt think say syllabus
0,who say hi drugdealer
0,hate call didnt accept even single call mine even messaged
0,oh oh den muz change plan liao go back yan jiu
0,like italian food
0,pls clarify back open return ticket preponed go back kerala
0,hoping enjoyed game yesterday sorry ive touch pls know fondly bein thot great week abiola
0,hi kindly give u back document submitted loan stapati
0,cute thought friendship necessary share every secret ur close frnd watever u shared true
0,could work well reach consensus next meeting
0,plan yet
0,brainless baby dolld vehicle sariyag drive madoke barolla
0,yet hadya sapna aunty manege yday hogidhechinnu full weak swalpa black agidhane
0,come online today night
0,well medical mission nigeria
0,jay say youre doublefaggot
0,wn u r hurt prsn close u fight wit dem coz somtimes dis fight save relation bt quiet leaf nothin relation gud eveb
0,asked hows anthony dad bf
0,yar lor actually quite fast co da ge slow wat haha
0,hello lover go new job happy think wake slave send teasing kiss across sea
0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay gud mrng
0,well im going aunty
0,sorry pain ok meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry
0,like spoiled
0,u want come backa beautiful necklace token heart youthats give wife likingbe seeno one give thatdont call mei wait till come
0,oh ya ya remember da
0,found enc ltgt
0,ü give time walk
0,im back amp packing car ill let know there room
0,jay say hell put ltgt
0,nothis kallis home groundamla home town durban
0,come right ahmad
0,well leave class babe never came back hope nice sleep love
0,ups day also shipping company take wks way usps take week get lag may bribe nipost get stuff
0,ive got ten buck jay noncomittal
0,ok careful dont text drive
0,texted finished long time ago showered erything
0,ofcourse also upload song
0,okie ü wan meet bishan co bishan im driving today
1,hot live fantasy call p per min ntt ltd po box croydon cr wb k
0,uncle atlanta wish guy great semester
0,realy sorryi dont recognise number confused r u please
0,hey sathya till dint meet even single time saw situation sathya
0,got tallent wasting
0,dear denying word please
0,getting back time soon
0,tell said eat shit
0,im aight wats happening side
1,lord ringsreturn king store nowreply lotr june chance win lotr soundtrack cd stdtxtrate reply stop end txts
1,dear subscriber ur draw £ gift voucher b entered receipt correct an elvis presley birthday txt answer
0,helloooo wake sweet morning welcome enjoy day full joy gud mrng
0,yar lor keep raining non stop u wan go elsewhere
0,sbut luck catch put
0,im really sorry lit hair fire
0,party alex nichols
0,becoz ltgt jan whn al post ofice holiday cn go fr post oficegot duffer
0,haha yup hopefully lose kg mon hip hop go orchard weigh
0,pls dont play others life
0,actually first time went bed long spoke woke night
0,call get chance plz lt
0,ok take ur time n enjoy ur dinner
0,free call pa
0,eatin lunch
0,tomarrow want got court ltdecimalgt come bus stand
0,tee hee lecture cheery bye bye
0,whats bruv hope great break rewarding semester
0,oh love soooo good hear omg missed much today im sorry problem provider thank tming
0,haha money leh later got go tuition haha looking empty slot driving lesson
0,oh kim watching
0,hi elaine today meeting confirmed
0,good morning plz call sir
0,said okay sorry
0,know dad back
0,got like ltgt get later though get whatever feel like
0,im wif buying tix lar
1,cashbincouk get lot cash weekend wwwcashbincouk dear welcome weekend got biggest best ever cash give away
1,nokia get win free auction take part send nokia hgsuitelands rowwjhl
1,ur chance win £ wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk
0,campus library
0,need lar go engin co si art today
0,thats fine give call know want question
0,hows scotland hope showing jjc tendency take care live dream
0,already one guy loving
0,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh
0,hi hope u get txtjourney hasnt gdnow min late think
0,actually mobile full msg work online need send ltgt sent msg wil explain u later
0,wanted wish happy new year wanted talk legal advice gary split person ill make trip ptbo hope everything good babe love ya
0,waiting call sir
0,haha got fast lose weight thk muz go month den got effect geelater go aust put bk e weight
0,good day
0,hey still want go yogasana coz end cine go bathe hav steam bath
0,hey iouri gave number im wylie ryans friend
0,dont pick call something important tell hrishi
0,hi home calicut
0,yup remb think book
0,sorry missed call please call back
0,waiti come ltgt min
0,arr birthday today wish get oscar
1,new textbuddy chat horny guy ur area p free receive search postcode gaytextbuddycom txt one name
1,someone contacted dating service entered phone becausethey fancy find call landline pobox wrg p
0,eh ur laptop got stock lei say mon muz come take look c got
0,call later afternoon onwords mtnl service get problem south mumbai hear cannt listen
0,nah straight bring bud drink something thats actually little useful straight cash
1,win urgent mobile number awarded £ prize guaranteed call land line claim valid hr ppm
0,lol thats different dont go trying find every real life photo ever took
0,oops ill let know roommate done
1,tried call reply sm video mobile min unlimited text free camcorder reply call
0,lol trying make day little interesting
1,£ uk break accommodationvouchers term condition apply claim mustprovide claim number
0,hi darlin hope nice night wish come cant wait see love fran p want dirty anal sex want man gang bang
0,okay name ur price long legal wen pick u ave x am xx
1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd calloptoutfq
0,dear call tmorrowpls accomodate
0,dude sux snake got old raiden got buff
0,come home one last time wont anything trust
0,aldrine rakhesh ex rtm herepls callurgent
0,thats cool cum
1,private account statement
0,many time lose best one bcoz
0,getting ticket walsall tue th march mate getting sat ill pay treat want go txt bak terry
0,ok come n pick u engin
0,say he quitting leasttimes day wudnt take much notice nah didnt mind gonna see want come taunton tonight u tell
0,let use next week princess
0,way tirupur
0,ok finish
0,common hearin r u wat r u ur day let ask u something different u smile today gud evng
1,heard u call night knickers make beg like u last time xx luv nikiyunet
0,still area restaurant ill try come back soon
0,thk ü gotta go home urself co ill b going shopping frens present
0,dont thnk wrong calling u
0,noice text youre
0,ü mean confirmed tot juz say oni ok
0,lol u drunkard hair moment yeah still tonight wats plan
0,pa tell went bath
0,ive told ive returned order
1,please call customer service representative freephone ampm guaranteed £ cash £ prize
0,waiting tv show start lor u leh still busy ur report
0,prasanth ettans mother passed away last night pray family
0,got outta class gonna go gym
0,ask keep one maybe thats didnt get message sent glo
1,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recdthirtyeight penny
0,u dont remember old commercial
0,hey sexy bun told adore loverboy hope remember thank sister law meatball grin love babe
0,goodmorning today late ltdecimalgt min
0,gonna get rimac access
0,house e sky quite dark liao raining got excuse run already rite hee
0,cab availablethey pick drop door step
0,tell something thats okay
1,free entry £ weekly comp send word enter tc wwwtextcompcom cust care
0,deep sigh miss really surprised havent gone net cafe yet get dont miss
1,£ xmas reward waiting computer randomly picked loyal mobile customer receive £ reward call
0,never nothing
0,ah see lingo let know wot earth finished making
0,love aathilove u lot
0,wen get spiritual deep thats great
0,castor need see something
0,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
0,hope text meet smiling let text give reason smile beautiful day
0,whens radio show
0,must sit around wait summer day celebrate magical sight world dressed white oooooh let snow
1,urgent trying contact u today draw show £ prize guaranteed call land line claim c validhrs
0,guy car shop flirting got phone number paperwork called texted im nervous course may address call bos tell knowing may get fired
0,ok may free gym
0,engalnd telly decided wont let watch mia elliot kissing damn
0,oh ok wats ur email
1,day euro kickoff u kept informed latest news result daily unsubscribe send get euro stop
0,shes fine good hear dear happy new year oh
0,im watching lotr w si dis aft u wan meet dinner nite
0,get library
1,free msg sorry service ordered could delivered sufficient credit please top receive service
1,email alertfrom jeri stewartsize kbsubject lowcost prescripiton drvgsto listen email call
0,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae lyf nt yet ovr chikkuali vargu lyfu meow meowd
0,doesnt g class early tomorrow thus shouldnt trying smoke ltgt
0,bad girl lady
