label,message
1,u nokia plus free digital camera u get u win free auction take part send nokia poboxtcrw
0,mro coming gym machan goodnight
1,next amazing xxx picsfree video sent enjoy one vid enough day text back keyword picsfree get next video
0,cool like swimming pool jacuzzi house
0,make fuck sake x
0,super dagood replacement murali
0,kind took garage centre part exhaust need replacing part ordered n taking fixed tomo morning
0,im diet ate many slice pizza yesterday ugh im always diet
0,wishing wonderful week
0,im gonnamissu muchi would say il send u postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract luv yaxx
0,santha num corrct dane
1,specially selected receive pound award call line close cost ppm tc apply ag promo
1,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfebtcs apply
0,anything specific regard jaklin idk fuck
0,hey sat going intro pilate kickboxing
0,need drug anymore
0,ok prob ill come lunch
0,yo yo yo byatch whassup
1,congrats mobile g videophones r call videochat wid ur mate play java game dload polyph music noline rentl bx ip p
0,importantly discus u
0,hey rite u put » evey mnth
0,meanwhile shit suite xavier decided give u ltgt second warning samantha coming playing jay guitar impress shit also dont think doug realizes dont live anymore
1,bloomberg message center wait apply future httpcareers bloombergcom
0,sthis increase chance winning
0,lol gonna last month cashed left ltgt case collecting week cause announced blog
0,orh tot u say still dun believe
1,orange brings ringtones time chart hero free hit week go ringtones pic wap stop receiving tip reply stop
0,ok ok take care understand
0,want inside every night
0,dude makin weirdy brownie sister made awesome cooky took pic
0,finished work yet
0,i‘ll look frying pan case it‘s cheap book perhaps that‘s silly frying pan isn‘t likely book
0,whats room number wanna make sure im knocking right door
0,thanks understanding ive trying tell sura
0,ok u take shopping u get paid
0,happy new year hope good semester
0,goodmorning today late ltdecimalgt min
1,weekly coolmob tone ready download week new tone include crazy frogaxel f akonlonely black eyeddont p info n
1,claim shopping spree call mobstorequizppm
0,finally came fix ceiling
0,really need shit tomorrow know wont awake like
0,im arestaurant eating squid wanna dosomething late
0,u meet fren dun wan meet ah muz b guy rite
0,imagine life without see fast u searching medont worry lm always disturb u goodnoon
0,ohi asked fun hahatake care ü
0,okie thanx
0,pls send comprehensive mail im paying much
0,going write ccna exam week
0,lay man let know missed thought great day send bimbo ugos number ill appreciate safe
0,promise take good care princess run please send pic get chance ttyl
1,enjoy jamster videosound gold club credit new videosounds logosmusicnews get fun jamstercouk help call
0,played smash bros ltgt religiously
0,sound good keep posted
1,id like tell deepest darkest fantasy call pmin stop text call nat rate
0,ya ü taking ure practical lesson start june
0,hi yijue regarding textbook intro algorithm second edition im selling
0,right ill make appointment right
0,nope ill come online
1,join uk horniest dogging service u sex nite sign follow instruction txt entry nytecalpmsgp
0,send someone else
0,pick drop carso problem
0,spoil bed well
0,mmm yummy babe nice jolt suzy
0,still tonight
0,sorry roommate took forever ok come
1,oh god ive found number im glad text back xafter msg cst std ntwk chg £
0,short cute good person dont try prove gud noon
0,im working technical support voice process
0,havent decided yet eh
0,ok good making money
0,wish holding tightly making see important much mean much need life
